reviews,country,date,cleaned_reviews,sentiment_score,review_category
It's very bad quality. Also it has to be stick from outside. Material is also very bad,India,20-July-2021,bad qualiti also stick outsid materi also bad,-0.8218,negative
Nice one,India,28-June-2021,nice one,0.4215,positive
It's very bad quality. Also it has to be stick from outside. Material is also very bad,India,20-July-2021,bad qualiti also stick outsid materi also bad,-0.8218,negative
Nice one,India,28-June-2021,nice one,0.4215,positive
